n,t_funcSonya,L_(t)_funcSonya,t_funcDemian,L_(t)_funcDemian,t_funcIvan,L_(t)_funcIvan,t_funcStefa,L_(t)_funcStefa,t_funcYuliia,L_(t)_funcYuliia
0,0,2.0124815765881054E-22,0,2.0124815765881054E-22,0,2.0124815765881054E-22,0,2.0124815765881054E-22,0,2.0124815765881054E-22
1,1,-4.05721523529951E-20,1,-4.05721523529951E-20,1,-4.05721523529951E-20,1,-4.05721523529951E-20,1,-4.05721523529951E-20
2,2,4.049052977344735E-18,2,4.049052977344735E-18,2,4.049052977344735E-18,2,4.049052977344735E-18,2,4.049052977344735E-18
3,3,-2.6667408736481025E-16,3,-2.6667408736481025E-16,3,-2.6667408736481025E-16,3,-2.6667408736481025E-16,3,-2.6667408736481025E-16
4,4,1.3037499594074668E-14,4,1.3037499594074668E-14,4,1.3037499594074668E-14,4,1.3037499594074668E-14,4,1.3037499594074668E-14
5,5,-5.046054312987544E-13,5,-5.046054312987544E-13,5,-5.046054312987544E-13,5,-5.046054312987544E-13,5,-5.046054312987544E-13
6,6,1.610308773771329E-11,6,1.610308773771329E-11,6,1.610308773771329E-11,6,1.610308773771329E-11,6,1.610308773771329E-11
7,7,-4.3573710177438626E-10,7,-4.3573710177438626E-10,7,-4.3573710177438626E-10,7,-4.3573710177438626E-10,7,-4.3573710177438626E-10
8,8,1.020408659115325E-08,8,1.020408659115325E-08,8,1.020408659115325E-08,8,1.020408659115325E-08,8,1.020408659115325E-08
9,9,-2.1004657018735194E-07,9,-2.1004657018735194E-07,9,-2.1004657018735194E-07,9,-2.1004657018735194E-07,9,-2.1004657018735194E-07
10,10,3.8473260174827675E-06,10,3.8473260174827675E-06,10,3.8473260174827675E-06,10,3.8473260174827675E-06,10,3.8473260174827675E-06
11,11,-6.332581383033665E-05,11,-6.332581383033665E-05,11,-6.332581383033665E-05,11,-6.332581383033665E-05,11,-6.332581383033665E-05
12,12,0.0009442633658053366,12,0.0009442633658053366,12,0.0009442633658053366,12,0.0009442633658053366,12,0.0009442633658053366
